"total_internet_time","use_smartphone","use_laptop","use_tablet","use_desktop","use_wearables","is_in_school","is_employed","gender"
NA,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"male"
NA,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,"male"
NA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"female"
NA,NA,NA,NA,NA,NA,FALSE,FALSE,"male"
7.5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"male"
NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"male"
NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"male"
NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"female"
NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"male"
62.5,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"male"
NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"male"
NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"female"
NA,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"female"
NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"male"
NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"male"
87.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"female"
NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"male"
NA,NA,NA,NA,NA,NA,FALSE,FALSE,"male"
NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"female"
NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"female"
20,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"female"
30,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"male"
NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"male"
NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"male"
NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"male"
NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"female"
NA,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,"female"
NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"male"
NA,TRUE,TRUE,FALSE,FALSE,TRUE,NA,NA,"male"
NA,NA,NA,NA,NA,NA,FALSE,FALSE,"female"
62.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"male"
NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"male"
NA,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"female"
NA,NA,NA,NA,NA,NA,FALSE,FALSE,"male"
NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"female"
NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"male"
NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"male"
NA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"male"
110,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"male"
57.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"female"
NA,NA,NA,NA,NA,NA,FALSE,FALSE,"male"
30,TRUE,TRUE,FALSE,FALSE,TRUE,NA,NA,"female"
30,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"female"
NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"female"
NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"male"
NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,"female"
NA,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,"female"
NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"female"
NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"female"
NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"female"
22.5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"female"
